SD_Picker,SD_Lines,Date
79,8,11/1/2007
278,285,11/1/2007
278,265,11/1/2007
306,54,11/1/2007
306,265,11/1/2007
79,192,11/1/2007
904,125,11/1/2007
930,50,11/1/2007
918,50,11/1/2007
106,10,11/1/2007
ex,26,11/2/2007
79,11,11/2/2007
278,300,11/2/2007
278,240,11/2/2007
306,203,11/2/2007
306,240,11/2/2007
79,149,11/2/2007
904,136,11/2/2007
930,75,11/2/2007
918,25,11/2/2007
106,12,11/2/2007
EX,129,11/5/2007
79,5,11/5/2007
91,11,11/5/2007
306,276,11/5/2007
306,274,11/5/2007
79,123,11/5/2007
79,172,11/5/2007
904,29,11/5/2007
904,152,11/5/2007
930,152,11/5/2007
918,23,11/5/2007
909,20,11/5/2007
185,177,11/5/2007
e,69,11/6/2007
79,24,11/6/2007
en,13,11/6/2007
278,275,11/6/2007
278,275,11/6/2007
306,267,11/6/2007
306,275,11/6/2007
79,177,11/6/2007
904,150,11/6/2007
930,103,11/6/2007
E,154,11/7/2007
79,15,11/7/2007
278,250,11/7/2007
278,300,11/7/2007
306,29,11/7/2007
306,300,11/7/2007
904,125,11/7/2007
904,150,11/7/2007
930,71,11/7/2007
930,143,11/7/2007
91,7,11/7/2007
e,22,11/8/2007
79,10,11/8/2007
278,275,11/8/2007
306,93,11/8/2007
306,275,11/8/2007
904,131,11/8/2007
904,144,11/8/2007
930,131,11/8/2007
930,79,11/8/2007
918,50,11/8/2007
909,43,11/8/2007
106,2,11/8/2007
79,2,11/9/2007
EX,59,11/9/2007
306,305,11/9/2007
306,225,11/9/2007
79,210,11/9/2007
79,188,11/9/2007
904,210,11/9/2007
904,115,11/9/2007
930,88,11/9/2007
930,115,11/9/2007
918,83,11/9/2007
185,90,11/9/2007
106,16,11/9/2007
EX,50,11/12/2007
79,3,11/12/2007
306,250,11/12/2007
306,324,11/12/2007
79,9,11/12/2007
79,210,11/12/2007
904,213,11/12/2007
930,63,11/12/2007
148,48,11/12/2007
106,7,11/12/2007
ex,46,11/13/2007
79,70,11/13/2007
91,19,11/13/2007
148,200,11/13/2007
148,125,11/13/2007
306,300,11/13/2007
306,271,11/13/2007
79,200,11/13/2007
79,130,11/13/2007
904,183,11/13/2007
904,125,11/13/2007
930,125,11/13/2007
918,148,11/13/2007
909,25,11/13/2007
,,11/13/2007
EX,210,11/14/2007
79,13,11/14/2007
148,166,11/14/2007
306,275,11/14/2007
306,276,11/14/2007
79,64,11/14/2007
79,206,11/14/2007
904,166,11/14/2007
930,166,11/14/2007
91,3,11/14/2007
e,6,11/15/2007
79,28,11/15/2007
148,178,11/15/2007
306,250,11/15/2007
306,326,11/15/2007
79,107,11/15/2007
79,150,11/15/2007
930,65,11/15/2007
930,125,11/15/2007
918,50,11/15/2007
909,50,11/15/2007
91,9,11/15/2007
e,13,11/16/2007
